enrollment_id,employee_id,plan_id,plan_name,plan_code,plan_category,accrual_frequency,effective_start,effective_end,enrolled_by,enrollment_date,enrollment_status,annual_entitlement,carryover_allowed,max_carryover_days
ENR33SNUO09,EMP00139,PLN1565,Compensatory Off,CO-PLAN-06,Paid,Per-Incident,2023-01-10,2026-01-09,EMP00005,2023-01-10,Active,12,Yes,10.0
ENRG7ZPGBJV,EMP00139,PLN5208,Annual Leave,AL-PLAN-01,Statutory,One-Time,2020-03-07,2023-03-07,EMP00042,2020-03-07,Pending,18,Yes,10.0
ENRCUPGK0FH,EMP00139,PLN2563,Casual Leave,CL-PLAN-03,Unpaid,Annual,2020-03-15,2023-03-15,EMP00016,2020-03-15,Terminated,25,Yes,
ENR52QXHRNZ,EMP00140,PLN5998,Annual Leave,AL-PLAN-01,Unpaid,Monthly,2023-01-01,2025-12-31,EMP00049,2023-01-01,Terminated,30,Yes,5.0
ENRQE2MZ268,EMP00140,PLN7964,Compensatory Off,CO-PLAN-06,Unpaid,Monthly,2022-11-25,2024-11-24,EMP00047,2022-11-25,Terminated,15,Yes,0.0
ENRWWXNV0AH,EMP00140,PLN3242,Bereavement Leave,BL-PLAN-08,Unpaid,Per-Incident,2022-06-25,2024-06-24,EMP00031,2022-06-25,Pending,12,No,5.0
ENRGPGDT254,,PLN3571,Unpaid Leave,UL-PLAN-07,Statutory,Annual,2023-08-25,2025-08-24,EMP00003,2023-08-25,Pending,10,Yes,15.0
ENR4H5EGJYX,,PLN8556,Annual Leave,AL-PLAN-01,Statutory,One-Time,2023-04-05,2025-04-04,EMP00019,2023-04-05,Active,10,Yes,10.0
ENRK8XA7V9I,,PLN3860,Paternity Leave,PL-PLAN-05,Statutory,One-Time,2020-12-07,2023-12-07,EMP00036,2020-12-07,Active,21,No,15.0
ENRUXT66U17,EMP00142,PLN9126,Casual Leave,CL-PLAN-03,Statutory,Per-Incident,2021-11-06,2023-11-06,EMP00020,2021-11-06,Pending,21,Yes,
ENRV5M1KVYG,EMP00142,PLN3986,Compensatory Off,CO-PLAN-06,Paid,One-Time,2021-09-08,2022-09-08,EMP00038,2021-09-08,Inactive,25,Yes,0.0
ENRBQZYLEFZ,EMP00142,PLN1470,Sick Leave,SL-PLAN-02,Paid,Per-Incident,2021-12-27,2024-12-26,EMP00027,2021-12-27,Inactive,15,Yes,15.0
ENR64YUO7OH,EMP00143,PLN8241,Annual Leave,AL-PLAN-01,Unpaid,Annual,2022-01-24,2025-01-23,EMP00023,2022-01-24,Pending,25,Yes,0.0
ENRJ17L7LXQ,EMP00143,PLN1012,Paternity Leave,PL-PLAN-05,Statutory,Monthly,2023-03-12,2026-03-11,EMP00048,2023-03-12,Inactive,15,Yes,0.0
ENRM7SJ1Z2Z,EMP00144,PLN4105,Compensatory Off,CO-PLAN-06,Statutory,Monthly,2021-11-11,2022-11-11,EMP00035,2021-11-11,Pending,12,Yes,15.0
ENRHIBCD4RL,EMP00144,PLN9366,Unpaid Leave,UL-PLAN-07,Unpaid,One-Time,2022-11-26,2024-11-25,EMP00030,2022-11-26,Inactive,10,No,
ENRLWXDW9ZX,EMP00145,,Casual Leave,CL-PLAN-03,Paid,Monthly,NOT-A-DATE,2021-03-28,EMP00033,2021-04-27,Inactive,25,Yes,10.0
ENR4D2GNHKD,EMP00145,,Annual Leave,AL-PLAN-01,Unpaid,Annual,NOT-A-DATE,2020-09-22,EMP00031,2020-10-22,Terminated,21,Yes,15.0
ENRYKTA8BYQ,EMP00145,,Paternity Leave,PL-PLAN-05,Paid,Per-Incident,NOT-A-DATE,2022-02-12,EMP00030,2022-03-14,Active,15,Yes,5.0
ENRWFAH0BGB,EMP00146,PLN3800,Paternity Leave,PL-PLAN-05,Statutory,Monthly,2023-08-22,2025-08-21,EMP00024,2023-08-22,Pending,10,Yes,15.0
ENR6L86B2JN,EMP00146,PLN6246,Annual Leave,AL-PLAN-01,Statutory,Monthly,2021-11-02,2024-11-01,EMP00013,2021-11-02,Terminated,10,Yes,15.0
ENR5E98KWP1,EMP00146,PLN9087,Sick Leave,SL-PLAN-02,Unpaid,Per-Incident,2021-08-03,2022-08-03,EMP00045,2021-08-03,Pending,20,No,10.0
ENR21M4FIK8,EMP00146,PLN9548,Unpaid Leave,UL-PLAN-07,Paid,Per-Incident,2021-03-18,2023-03-18,EMP00046,2021-03-18,Inactive,12,Yes,10.0
ENRW438WTZB,EMP00147,PLN4135,Maternity Leave,ML-PLAN-04,Paid,Monthly,2023-10-30,2025-10-29,EMP00047,2023-10-30,Pending,30,Yes,0.0
ENR2HPHBXK5,EMP00147,PLN3417,Annual Leave,AL-PLAN-01,Paid,Monthly,2020-05-03,2021-05-03,EMP00040,2020-05-03,Inactive,18,Yes,
ENR637LJWH0,EMP00147,PLN1107,Compensatory Off,CO-PLAN-06,Unpaid,One-Time,2022-10-01,2023-10-01,EMP00017,2022-10-01,Pending,15,No,15.0
ENR20DGS08H,EMP00147,PLN5492,Casual Leave,CL-PLAN-03,Paid,One-Time,2023-08-24,2024-08-23,EMP00038,2023-08-24,Terminated,21,No,
ENRZ7N9KMDI,EMP00148,PLN5442,Sick Leave,SL-PLAN-02,Statutory,One-Time,2022-01-27,2023-01-27,EMP00029,2022-01-27,Terminated,15,Yes,10.0
ENRSNSNX4WN,EMP00148,PLN4854,Annual Leave,AL-PLAN-01,Statutory,Annual,2022-03-07,2023-03-07,EMP00009,2022-03-07,Pending,20,Yes,
ENR3YNPMMHU,EMP00148,PLN6170,Compensatory Off,CO-PLAN-06,Statutory,Annual,2020-07-23,2022-07-23,EMP00038,2020-07-23,Terminated,15,No,10.0
ENRZKROHAJI,EMP00148,PLN2378,Paternity Leave,PL-PLAN-05,Paid,One-Time,2021-09-01,2024-08-31,EMP00038,2021-09-01,Pending,15,Yes,15.0
ENR88ZOFJAY,EMP00149,PLN9491,Unpaid Leave,UL-PLAN-07,Statutory,Per-Incident,2021-06-18,2022-06-18,EMP00001,2021-06-18,Terminated,25,Yes,5.0
ENRACX8XFA1,EMP00149,PLN1700,Bereavement Leave,BL-PLAN-08,Unpaid,One-Time,2023-12-06,2026-12-05,EMP00048,2023-12-06,Inactive,18,No,10.0
ENRVMGBJZHZ,EMP00149,PLN1724,Compensatory Off,CO-PLAN-06,Paid,Per-Incident,2021-04-14,2024-04-13,EMP00029,2021-04-14,Inactive,20,Yes,10.0
ENR6FAZE70C,EMP00149,PLN1833,Annual Leave,AL-PLAN-01,Statutory,One-Time,2022-03-18,2023-03-18,EMP00046,2022-03-18,Active,21,No,5.0
ENRZL4THNIK,EMP00150,PLN7392,Compensatory Off,CO-PLAN-06,Statutory,Annual,2022-10-26,2025-10-25,EMP00014,2022-10-26,Terminated,15,Yes,0.0
ENRU3D40I6X,EMP00150,PLN8368,Unpaid Leave,UL-PLAN-07,Unpaid,Monthly,2023-01-11,2025-01-10,EMP00037,2023-01-11,Active,20,Yes,5.0
ENRRN40IGP7,EMP00150,PLN1947,Bereavement Leave,BL-PLAN-08,Unpaid,Monthly,2023-12-08,2026-12-07,EMP00017,2023-12-08,Pending,12,No,
ENRT8Y5SRSO,EMP00151,PLN9496,Bereavement Leave,BL-PLAN-08,Statutory,Annual,2020-07-25,2021-07-25,EMP00008,2020-07-25,Terminated,-5,Yes,
ENRVUSL5PSK,EMP00151,PLN7031,Paternity Leave,PL-PLAN-05,Paid,One-Time,2021-08-06,2024-08-05,EMP00013,2021-08-06,Active,-5,Yes,15.0
ENRC913E4PM,EMP00152,PLN5940,Sick Leave,SL-PLAN-02,Statutory,Annual,2023-12-08,2024-12-07,EMP00041,2023-12-08,Inactive,30,Yes,15.0
ENRFIS0HJL2,EMP00152,PLN9804,Maternity Leave,ML-PLAN-04,Paid,Per-Incident,2020-08-07,2021-08-07,EMP00004,2020-08-07,Inactive,18,No,15.0
ENRZ3RITZNZ,EMP00153,,Compensatory Off,CO-PLAN-06,Statutory,One-Time,2022-12-24,2025-12-23,EMP00027,2022-12-24,Inactive,30,Yes,
ENRAK3I2NR1,EMP00153,,Annual Leave,AL-PLAN-01,Unpaid,Annual,2023-01-29,2024-01-29,EMP00039,2023-01-29,Active,20,No,
ENRW1C0HKNC,EMP00153,,Unpaid Leave,UL-PLAN-07,Paid,One-Time,2020-07-11,2022-07-11,EMP00035,2020-07-11,Terminated,15,Yes,5.0
ENRRAUSQLEO,EMP00153,,Maternity Leave,ML-PLAN-04,Statutory,Per-Incident,2023-03-06,2026-03-05,EMP00012,2023-03-06,Active,18,Yes,5.0
ENRBGJO7B39,EMP00154,PLN1287,Sick Leave,SL-PLAN-02,Statutory,Per-Incident,2022-02-22,2024-02-22,EMP00015,2022-02-22,Inactive,20,Yes,
ENR1GEL9LR9,EMP00154,PLN5221,Unpaid Leave,UL-PLAN-07,Unpaid,Monthly,2020-08-30,2021-08-30,EMP00017,2020-08-30,Terminated,15,No,
ENRTIXV230X,EMP00154,PLN2795,Compensatory Off,CO-PLAN-06,Statutory,Monthly,2021-01-08,2024-01-08,EMP00040,2021-01-08,Inactive,25,Yes,10.0
ENRBXKB8LA9,EMP00154,PLN4474,Casual Leave,CL-PLAN-03,Statutory,Per-Incident,2021-11-24,2023-11-24,EMP00007,2021-11-24,Terminated,15,Yes,0.0
ENRPBJ65FER,EMP00155,PLN3151,Annual Leave,INVALID_PLAN_XXX,Statutory,Per-Incident,2021-04-30,2024-04-29,EMP00043,2021-04-30,Terminated,20,Yes,
ENRSX6YO6J9,EMP00155,PLN3880,Unpaid Leave,INVALID_PLAN_XXX,Unpaid,One-Time,2022-06-08,2025-06-07,EMP00005,2022-06-08,Terminated,15,No,
ENRW372BJLV,EMP00155,PLN4411,Sick Leave,INVALID_PLAN_XXX,Unpaid,Monthly,2022-03-29,2023-03-29,EMP00044,2022-03-29,Pending,21,No,10.0
ENRO0VPSPTS,EMP00156,PLN3318,Annual Leave,AL-PLAN-01,Paid,One-Time,2022-09-15,2025-09-14,EMP00036,2022-09-15,Terminated,25,Yes,0.0
ENR8DHA756F,EMP00156,PLN5854,Bereavement Leave,BL-PLAN-08,Statutory,Monthly,2023-04-04,2026-04-03,EMP00040,2023-04-04,Inactive,18,Yes,
ENRNTXQLQQP,EMP00156,PLN2672,Compensatory Off,CO-PLAN-06,Unpaid,Annual,2021-01-04,2024-01-04,EMP00042,2021-01-04,Inactive,20,Yes,5.0
ENRJHROQH95,EMP00156,PLN5847,Sick Leave,SL-PLAN-02,Statutory,Per-Incident,2021-03-17,2022-03-17,EMP00030,2021-03-17,Inactive,20,Yes,15.0
ENRRICE2MMV,EMP00157,PLN5720,Maternity Leave,ML-PLAN-04,Unpaid,Per-Incident,NOT-A-DATE,2026-07-27,EMP00038,2023-07-28,Active,18,No,15.0
ENRNC817IEX,EMP00157,PLN3557,Sick Leave,SL-PLAN-02,Unpaid,Per-Incident,NOT-A-DATE,2024-01-25,EMP00020,2021-01-25,Inactive,21,Yes,
ENRBWM74XZF,EMP00157,PLN9409,Bereavement Leave,BL-PLAN-08,Unpaid,Per-Incident,NOT-A-DATE,2022-11-09,EMP00048,2020-11-09,Active,12,Yes,
ENRTXPYQJUH,EMP00157,PLN6647,Unpaid Leave,UL-PLAN-07,Unpaid,Per-Incident,NOT-A-DATE,2024-01-20,EMP00021,2022-01-20,Inactive,30,Yes,15.0
ENRP4XXGPOL,EMP00158,PLN4282,Sick Leave,SL-PLAN-02,Unpaid,Annual,2020-01-27,2023-01-26,EMP00015,2020-01-27,Active,10,Yes,0.0
ENRCHRJ81EY,EMP00158,PLN9069,Annual Leave,AL-PLAN-01,Statutory,Annual,2023-05-27,2024-05-26,EMP00032,2023-05-27,Active,30,Yes,
ENR0DLP4NJY,EMP00159,PLN6917,Compensatory Off,CO-PLAN-06,Paid,Monthly,2023-07-09,2025-07-08,EMP00049,2023-07-09,Pending,30,Yes,5.0
ENR4A7UQ5PE,EMP00159,PLN4190,Bereavement Leave,BL-PLAN-08,Unpaid,Per-Incident,2022-04-30,2024-04-29,EMP00003,2022-04-30,Active,30,No,
ENRQ1C6X9KE,EMP00159,PLN2721,Maternity Leave,ML-PLAN-04,Unpaid,One-Time,2021-04-06,2024-04-05,EMP00029,2021-04-06,Active,25,Yes,15.0
ENRFVIKVLGS,EMP00160,PLN2403,Compensatory Off,CO-PLAN-06,Statutory,One-Time,2023-08-17,2026-08-16,EMP00002,2023-08-17,Terminated,18,Yes,0.0
ENRIUJUH5RR,EMP00160,PLN3519,Annual Leave,AL-PLAN-01,Statutory,Annual,2023-04-06,2026-04-05,EMP00018,2023-04-06,Terminated,30,Yes,0.0
ENRZQ22CLZX,EMP00160,PLN3710,Maternity Leave,ML-PLAN-04,Unpaid,Monthly,2023-11-06,2026-11-05,EMP00011,2023-11-06,Pending,20,Yes,0.0
ENRLU6FPY7E,EMP00160,PLN6751,Paternity Leave,PL-PLAN-05,Unpaid,One-Time,2022-07-25,2025-07-24,EMP00003,2022-07-25,Inactive,21,Yes,0.0
ENRT2E71DAY,EMP00161,,Paternity Leave,PL-PLAN-05,Statutory,Annual,2020-05-31,2022-05-31,EMP00031,2035-01-01,Terminated,30,Yes,
ENRBWU2ZVTJ,EMP00161,,Maternity Leave,ML-PLAN-04,Paid,Monthly,2022-10-03,2024-10-02,EMP00007,2035-01-01,Terminated,25,Yes,5.0
ENROA16N0ZB,EMP00162,PLN4069,Annual Leave,AL-PLAN-01,Paid,Per-Incident,2020-07-07,2023-07-07,EMP00030,2020-07-07,Terminated,25,Yes,10.0
ENRSSHPZOQG,EMP00162,PLN9037,Compensatory Off,CO-PLAN-06,Unpaid,Annual,2023-01-19,2024-01-19,EMP00041,2023-01-19,Pending,30,Yes,
ENRR6BZQ5V7,EMP00163,PLN9400,Bereavement Leave,BL-PLAN-08,Paid,One-Time,2020-05-03,2020-04-03,EMP00021,2020-05-03,Active,30,Yes,15.0
ENRCLW69H2S,EMP00163,PLN7740,Paternity Leave,PL-PLAN-05,Paid,Monthly,2020-05-13,2020-04-13,EMP00031,2020-05-13,Inactive,21,Yes,5.0
ENR8KYS9YKH,EMP00163,PLN8973,Compensatory Off,CO-PLAN-06,Paid,Monthly,2021-03-10,2021-02-08,EMP00040,2021-03-10,Active,18,No,15.0
ENR96X4FNDE,EMP00164,PLN9008,Paternity Leave,PL-PLAN-05,Unpaid,Per-Incident,2022-06-13,2024-06-12,EMP00038,2022-06-13,Inactive,15,Yes,0.0
ENR7J0NRITC,EMP00164,PLN3346,Annual Leave,AL-PLAN-01,Unpaid,One-Time,2020-09-04,2022-09-04,EMP00043,2020-09-04,Pending,10,No,10.0
ENRYN0KO21J,EMP00165,PLN5464,Casual Leave,CL-PLAN-03,Unpaid,Monthly,2020-08-19,2022-08-19,EMP00041,2020-08-19,Pending,10,Yes,15.0
ENREW044L3H,EMP00165,PLN8848,Annual Leave,AL-PLAN-01,Statutory,One-Time,2020-02-23,2021-02-22,EMP00042,2020-02-23,Terminated,18,Yes,15.0
ENRFK5YUELW,EMP00166,PLN3991,Annual Leave,AL-PLAN-01,Statutory,One-Time,2022-12-09,2023-12-09,EMP00046,2022-12-09,Terminated,15,Yes,10.0
ENRQB6KFG4M,EMP00166,PLN6200,Casual Leave,CL-PLAN-03,Statutory,Per-Incident,2023-02-18,2026-02-17,EMP00028,2023-02-18,Active,20,Yes,
ENRT80BW9NV,EMP00166,PLN3760,Bereavement Leave,BL-PLAN-08,Statutory,One-Time,2021-03-02,2022-03-02,EMP00005,2021-03-02,Active,30,Yes,0.0
ENRYCC56Q84,EMP00166,PLN6636,Sick Leave,SL-PLAN-02,Unpaid,One-Time,2020-03-16,2022-03-16,EMP00036,2020-03-16,Active,12,Yes,
ENRBP8BD36J,EMP00167,PLN5090,Paternity Leave,PL-PLAN-05,Unpaid,Monthly,2022-07-29,2023-07-29,EMP00018,2022-07-29,Terminated,18,No,10.0
ENRNASXETGG,EMP00167,PLN9169,Compensatory Off,CO-PLAN-06,Unpaid,Annual,2021-10-06,2024-10-05,EMP00023,2021-10-06,Terminated,20,Yes,10.0
ENROICGS10M,EMP00167,PLN8079,Bereavement Leave,BL-PLAN-08,Paid,One-Time,2020-01-14,2023-01-13,EMP00045,2020-01-14,Pending,21,Yes,0.0
ENRPSA6P1GN,EMP00168,PLN3176,Sick Leave,SL-PLAN-02,Statutory,Per-Incident,2020-07-29,2021-07-29,EMP00016,2020-07-29,Pending,10,Yes,10.0
ENR293MNUPX,EMP00168,PLN9631,Paternity Leave,PL-PLAN-05,Statutory,One-Time,2022-02-17,2025-02-16,EMP00009,2022-02-17,Inactive,21,Yes,15.0
ENRQDHQ68OT,EMP00168,PLN4506,Compensatory Off,CO-PLAN-06,Unpaid,Annual,2022-12-06,2024-12-05,EMP00026,2022-12-06,Active,12,Yes,0.0
ENRKJTLX95N,EMP00169,,Annual Leave,AL-PLAN-01,Paid,Annual,NOT-A-DATE,2022-06-07,EMP00041,2021-06-07,Pending,15,Yes,
ENRPEI4MD48,EMP00169,,Bereavement Leave,BL-PLAN-08,Paid,Monthly,NOT-A-DATE,2022-02-10,EMP00024,2020-02-11,Pending,15,Yes,15.0
ENR33L0QHK1,EMP00169,,Casual Leave,CL-PLAN-03,Statutory,Monthly,NOT-A-DATE,2023-09-18,EMP00028,2022-09-18,Pending,18,Yes,10.0
ENRBGDHOWT8,EMP00169,,Maternity Leave,ML-PLAN-04,Paid,Monthly,NOT-A-DATE,2025-08-30,EMP00047,2022-08-31,Pending,10,Yes,
ENRY9A5XEQI,EMP00170,PLN1699,Unpaid Leave,UL-PLAN-07,Statutory,Annual,2023-12-26,2025-12-25,EMP00048,2023-12-26,Inactive,21,Yes,15.0
ENROO0GQ5RR,EMP00170,PLN3854,Casual Leave,CL-PLAN-03,Paid,Monthly,2023-12-13,2026-12-12,EMP00011,2023-12-13,Terminated,20,Yes,
ENRROL9GNYE,EMP00171,PLN4441,Bereavement Leave,BL-PLAN-08,Statutory,One-Time,2022-10-23,2023-10-23,EMP00044,2022-10-23,Pending,12,No,
ENRKPGZ4X77,EMP00171,PLN9450,Annual Leave,AL-PLAN-01,Statutory,Per-Incident,2023-09-30,2026-09-29,EMP00038,2023-09-30,Active,18,No,15.0
ENRK468FKT9,EMP00172,PLN9450,Bereavement Leave,BL-PLAN-08,Paid,One-Time,2020-03-28,2023-03-28,EMP00024,2020-03-28,Active,10,Yes,15.0
ENRHYSD057K,EMP00172,PLN4489,Annual Leave,AL-PLAN-01,Unpaid,Annual,2023-04-23,2024-04-22,EMP00005,2023-04-23,Pending,21,No,
ENRBPQSBW5X,EMP00172,PLN9433,Unpaid Leave,UL-PLAN-07,Paid,Annual,2022-09-02,2025-09-01,EMP00003,2022-09-02,Inactive,18,Yes,5.0
ENR9YG6VU1L,EMP00172,PLN2538,Sick Leave,SL-PLAN-02,Statutory,One-Time,2020-04-15,2022-04-15,EMP00029,2020-04-15,Inactive,21,No,0.0
ENRSNMPL328,EMP00173,PLN2803,Paternity Leave,PL-PLAN-05,Unpaid,Monthly,2020-09-10,2023-09-10,EMP00045,2020-09-10,Terminated,15,Yes,15.0
ENRIFENRFKT,EMP00173,PLN8488,Maternity Leave,ML-PLAN-04,Statutory,Per-Incident,2022-10-18,2024-10-17,EMP00044,2022-10-18,Pending,15,Yes,0.0
ENR817GB2JN,EMP00173,PLN1208,Unpaid Leave,UL-PLAN-07,Unpaid,Monthly,2020-02-26,2021-02-25,EMP00013,2020-02-26,Pending,18,No,0.0
ENR4NJQ2HZ2,EMP00173,PLN6426,Compensatory Off,CO-PLAN-06,Unpaid,Annual,2021-03-16,2022-03-16,EMP00037,2021-03-16,Pending,20,Yes,
ENRMOL53Q9L,EMP00174,PLN3668,Paternity Leave,PL-PLAN-05,Paid,Annual,2023-02-20,2025-02-19,EMP00024,2023-02-20,Active,15,No,15.0
ENRX05ZTUTB,EMP00174,PLN1005,Unpaid Leave,UL-PLAN-07,Paid,One-Time,2020-05-14,2022-05-14,EMP00037,2020-05-14,Pending,20,No,15.0
ENRA23043LW,EMP00175,PLN3994,Maternity Leave,ML-PLAN-04,Statutory,Annual,2022-12-27,2024-12-26,EMP00040,2022-12-27,Terminated,15,Yes,0.0
ENRAEGJD71Y,EMP00175,PLN7132,Compensatory Off,CO-PLAN-06,Statutory,Monthly,2021-10-28,2022-10-28,EMP00037,2021-10-28,Active,15,Yes,
ENR2Y8UJZDE,,PLN9247,Annual Leave,AL-PLAN-01,Statutory,Monthly,2022-11-26,2024-11-25,EMP00044,2022-11-26,Inactive,15,No,0.0
ENRYRPXXQZV,,PLN3204,Paternity Leave,PL-PLAN-05,Paid,Monthly,2022-12-01,2024-11-30,EMP00041,2022-12-01,Pending,12,Yes,15.0
ENRIOEIGBZV,,PLN4221,Maternity Leave,ML-PLAN-04,Unpaid,One-Time,2021-10-23,2022-10-23,EMP00042,2021-10-23,Terminated,15,Yes,0.0
ENR6JECAMS3,EMP00177,,Sick Leave,INVALID_PLAN_XXX,Paid,One-Time,2021-09-30,2023-09-30,EMP00011,2021-09-30,Active,30,No,
ENRW1ENT08Y,EMP00177,,Bereavement Leave,INVALID_PLAN_XXX,Paid,Per-Incident,2022-01-17,2025-01-16,EMP00006,2022-01-17,Terminated,20,Yes,0.0
ENR93D909CY,EMP00177,,Unpaid Leave,INVALID_PLAN_XXX,Statutory,One-Time,2022-04-19,2023-04-19,EMP00002,2022-04-19,Terminated,20,No,10.0
ENRCNDCMD6L,EMP00178,PLN8529,Maternity Leave,ML-PLAN-04,Unpaid,One-Time,2021-05-28,2024-05-27,EMP00043,2021-05-28,Terminated,18,Yes,10.0
ENREWIHGWN3,EMP00178,PLN5732,Annual Leave,AL-PLAN-01,Paid,Per-Incident,2023-04-14,2026-04-13,EMP00016,2023-04-14,Inactive,20,Yes,0.0
ENR5ARNYLOJ,EMP00178,PLN6466,Paternity Leave,PL-PLAN-05,Paid,One-Time,2021-04-03,2023-04-03,EMP00022,2021-04-03,Active,18,Yes,10.0
ENR9X62NEC2,EMP00178,PLN7271,Unpaid Leave,UL-PLAN-07,Statutory,Monthly,2021-12-10,2024-12-09,EMP00011,2021-12-10,Inactive,30,Yes,5.0
ENR3AOEXFE4,EMP00179,PLN2777,Unpaid Leave,UL-PLAN-07,Paid,Per-Incident,2022-07-14,2024-07-13,EMP00024,2022-07-14,Terminated,25,Yes,15.0
ENR9R3VC564,EMP00179,PLN5589,Bereavement Leave,BL-PLAN-08,Unpaid,Annual,2022-11-07,2024-11-06,EMP00034,2022-11-07,Active,30,Yes,
ENR8ZESVY59,EMP00179,PLN8971,Compensatory Off,CO-PLAN-06,Unpaid,Annual,2020-11-23,2023-11-23,EMP00010,2020-11-23,Pending,20,Yes,
ENR6E7UNMZF,EMP00180,PLN5455,Unpaid Leave,UL-PLAN-07,Statutory,Monthly,2020-10-11,2021-10-11,EMP00039,2020-10-11,Pending,18,No,5.0
ENR3YVNHFXN,EMP00180,PLN2500,Annual Leave,AL-PLAN-01,Statutory,Annual,2020-09-17,2023-09-17,EMP00022,2020-09-17,Pending,10,Yes,0.0
ENRDO77USK9,EMP00180,PLN3649,Maternity Leave,ML-PLAN-04,Statutory,Per-Incident,2021-08-12,2024-08-11,EMP00042,2021-08-12,Terminated,25,No,10.0
ENRHSOC8QX1,EMP00181,PLN9851,Unpaid Leave,UL-PLAN-07,Unpaid,Monthly,NOT-A-DATE,2021-08-16,EMP00044,2021-09-15,Inactive,-5,No,10.0
ENREG0C0M27,EMP00181,PLN7407,Paternity Leave,PL-PLAN-05,Unpaid,Per-Incident,NOT-A-DATE,2019-12-25,EMP00019,2020-01-24,Terminated,-5,Yes,0.0
ENRK7LCT8ZK,EMP00181,PLN5417,Bereavement Leave,BL-PLAN-08,Statutory,Monthly,NOT-A-DATE,2021-07-11,EMP00043,2021-08-10,Terminated,-5,Yes,
ENRCVXU4KCK,EMP00182,PLN7384,Compensatory Off,CO-PLAN-06,Statutory,Per-Incident,2023-07-24,2024-07-23,EMP00026,2023-07-24,Terminated,30,Yes,
ENR2M9SEN8C,EMP00182,PLN4164,Bereavement Leave,BL-PLAN-08,Unpaid,Monthly,2021-02-07,2022-02-07,EMP00010,2021-02-07,Inactive,15,Yes,10.0
ENR0KG9SFJT,EMP00182,PLN8986,Maternity Leave,ML-PLAN-04,Unpaid,Monthly,2021-05-08,2023-05-08,EMP00021,2021-05-08,Pending,25,Yes,
ENRJE58XHX4,EMP00183,PLN1022,Unpaid Leave,UL-PLAN-07,Paid,Monthly,2021-11-15,2022-11-15,EMP00034,2021-11-15,Active,10,No,10.0
ENRIVG8K9H8,EMP00183,PLN6571,Compensatory Off,CO-PLAN-06,Unpaid,Annual,2021-09-26,2022-09-26,EMP00016,2021-09-26,Inactive,20,Yes,5.0
ENRB3IBQJYX,EMP00183,PLN9971,Casual Leave,CL-PLAN-03,Unpaid,Monthly,2022-06-10,2023-06-10,EMP00011,2022-06-10,Active,20,Yes,0.0
ENRA3UQ93NF,EMP00184,PLN1024,Unpaid Leave,UL-PLAN-07,Paid,One-Time,2023-08-31,2024-08-30,EMP00036,2023-08-31,Active,25,Yes,10.0
ENRKK6H15PW,EMP00184,PLN9779,Annual Leave,AL-PLAN-01,Unpaid,Monthly,2021-01-26,2024-01-26,EMP00024,2021-01-26,Active,25,Yes,5.0
ENR7CAAMNJJ,EMP00184,PLN9633,Casual Leave,CL-PLAN-03,Unpaid,Monthly,2023-02-23,2024-02-23,EMP00030,2023-02-23,Terminated,25,Yes,0.0
ENREG1Q9K4W,EMP00184,PLN8494,Paternity Leave,PL-PLAN-05,Paid,One-Time,2020-05-26,2021-05-26,EMP00012,2020-05-26,Inactive,30,Yes,5.0
ENR4DD343N5,EMP00185,,Maternity Leave,ML-PLAN-04,Paid,Annual,2023-09-24,2025-09-23,EMP00010,2023-09-24,Active,10,Yes,
ENRF9ODXCX0,EMP00185,,Sick Leave,SL-PLAN-02,Statutory,Per-Incident,2023-07-18,2025-07-17,EMP00042,2023-07-18,Active,15,Yes,
ENR9TA7EY0D,EMP00185,,Casual Leave,CL-PLAN-03,Statutory,Monthly,2023-08-11,2024-08-10,EMP00015,2023-08-11,Pending,25,No,
ENR7WPII17C,EMP00185,,Annual Leave,AL-PLAN-01,Unpaid,Monthly,2021-10-30,2022-10-30,EMP00042,2021-10-30,Active,30,Yes,15.0
ENRUUT2TXYC,EMP00186,PLN1326,Sick Leave,SL-PLAN-02,Statutory,One-Time,2020-05-23,2022-05-23,EMP00026,2020-05-23,Active,12,No,10.0
ENRTC4C2UX5,EMP00186,PLN6433,Compensatory Off,CO-PLAN-06,Unpaid,Annual,2021-10-27,2023-10-27,EMP00045,2021-10-27,Active,10,Yes,10.0
ENRR66JK9Z4,EMP00186,PLN6482,Paternity Leave,PL-PLAN-05,Paid,Annual,2021-05-05,2022-05-05,EMP00050,2021-05-05,Inactive,25,Yes,10.0
ENR0384J38U,EMP00187,PLN7998,Casual Leave,CL-PLAN-03,Unpaid,One-Time,2020-01-17,2021-01-16,EMP00001,2020-01-17,Terminated,21,No,0.0
ENRFY8JODOB,EMP00187,PLN6332,Maternity Leave,ML-PLAN-04,Unpaid,Per-Incident,2022-02-07,2023-02-07,EMP00030,2022-02-07,Terminated,10,Yes,0.0
ENRF49KESJP,EMP00187,PLN9438,Bereavement Leave,BL-PLAN-08,Unpaid,Annual,2023-11-19,2026-11-18,EMP00001,2023-11-19,Active,25,Yes,0.0
ENRW1TU6G2D,EMP00187,PLN4171,Compensatory Off,CO-PLAN-06,Paid,Monthly,2023-10-03,2024-10-02,EMP00008,2023-10-03,Pending,12,Yes,5.0
ENRGCTBJS8Y,EMP00188,PLN6664,Sick Leave,SL-PLAN-02,Statutory,One-Time,2022-11-18,2025-11-17,EMP00044,2022-11-18,Inactive,10,Yes,5.0
